id,magnitude,place,time,longitude,latitude,depth_km
us7000aerg,5.1,"135 km SW of Corinto, Nicaragua",2020-06-29 22:28:01.811,-87.8791,11.4706,10.0
us7000aemu,4.8,"83 km SSW of ‘Ohonua, Tonga",2020-06-29 20:22:16.063,-175.2811,-22.0232,35.0
us7000ael8,5.7,Ascension Island region,2020-06-29 19:40:12.948,-13.5309,-11.5062,10.0
us7000ael6,4.5,"189 km SE of Katsuura, Japan",2020-06-29 19:37:09.937,141.6953,33.8817,10.0
us7000ahgp,4.9,southern Mid-Atlantic Ridge,2020-06-29 15:05:07.876,-16.1704,-41.8196,10.0
us7000ahgn,4.9,southern Mid-Atlantic Ridge,2020-06-29 14:53:10.229,-16.3268,-41.8248,10.0
us7000ahgx,4.6,southern Mid-Atlantic Ridge,2020-06-29 14:41:54.475,-16.2999,-41.7327,10.0
us7000ahgl,4.7,southern Mid-Atlantic Ridge,2020-06-29 14:33:21.728,-16.1074,-41.7673,10.0
us7000aeb6,4.5,"67 km WSW of Yonakuni, Japan",2020-06-29 12:52:47.851,122.3589,24.3041,62.25
us7000ae89,5.3,"191 km SE of Katsuura, Japan",2020-06-29 09:52:49.620,141.7348,33.8765,10.0
us7000ae7c,4.6,south of Panama,2020-06-29 09:13:50.859,-82.6776,5.2037,10.0
us7000ae74,4.9,"202 km E of Hihifo, Tonga",2020-06-29 08:56:54.363,-171.9032,-15.8717,10.0
us7000ae3q,4.6,"42 km NW of Kuqa, China",2020-06-29 05:59:36.483,82.5636,41.9775,10.0
us7000ae2s,5.0,"49 km W of Abapó, Bolivia",2020-06-29 05:06:33.435,-63.8484,-18.9254,37.72
us7000ae33,5.1,"44 km S of Vallegrande, Bolivia",2020-06-29 05:06:28.510,-64.0673,-18.8856,10.0
us7000ae1r,4.6,"8 km SSW of ?çmeler, Turkey",2020-06-29 04:06:24.606,28.2064,36.7269,67.0
us7000ae0q,4.6,"4 km ENE of Hirara, Japan",2020-06-29 02:37:35.579,125.3469,24.8216,47.03
pr2020180032,4.5,"5 km SW of Guánica, Puerto Rico",2020-06-28 22:48:49.670,-66.9495,17.9443,13.0
us7000ahfs,4.7,Fiji region,2020-06-28 21:51:01.559,-178.4472,-20.8288,575.67
us7000aduu,4.5,"53 km WSW of Villa Basilio Nievas, Argentina",2020-06-28 20:16:54.095,-69.2171,-31.7954,115.49
us7000adtk,5.4,"5 km SSE of ?çmeler, Turkey",2020-06-28 17:43:28.644,28.2482,36.7481,63.0
us7000ads1,4.7,"185 km SE of Katsuura, Japan",2020-06-28 14:54:12.129,141.6498,33.8922,10.0
us7000adrz,4.7,"126 km S of Panguna, Papua New Guinea",2020-06-28 14:49:08.434,155.4696,-7.4575,10.0
us7000adpi,4.8,"170 km ESE of Neiafu, Tonga",2020-06-28 12:06:47.976,-172.4029,-18.9905,10.0
us7000adm3,4.6,"113 km S of Yudomari, Japan",2020-06-28 10:01:19.002,130.4296,29.2145,33.06
us7000adls,4.5,central East Pacific Rise,2020-06-28 09:33:34.282,-108.9729,-9.134,10.0
us7000adkh,4.5,"274 km E of Levuka, Fiji",2020-06-28 08:43:33.213,-178.0921,-18.1452,596.2
us7000adjg,4.7,northern Mid-Atlantic Ridge,2020-06-28 07:32:53.715,-46.4829,17.6406,10.0
us7000adj7,4.5,"173 km W of Neiafu, Tonga",2020-06-28 07:22:07.203,-175.6249,-18.5326,10.0
pr2020180001,4.8,"5 km SW of Guánica, Puerto Rico",2020-06-28 06:42:42.600,-66.9415,17.9396,11.0
us7000ahf7,4.6,"13 km S of Hasaki, Japan",2020-06-28 05:59:40.734,140.861,35.6151,43.18
us7000adc5,4.8,"57 km SW of Masachapa, Nicaragua",2020-06-28 02:33:16.009,-86.9355,11.472,47.8
us7000adbw,4.7,"104 km ENE of Amahai, Indonesia",2020-06-28 02:12:57.354,129.724,-2.847,10.0
us7000adah,4.6,Carlsberg Ridge,2020-06-28 00:55:59.976,56.8937,10.0151,10.0
us7000ahev,4.5,"5 km NNE of Mahanob, Philippines",2020-06-28 00:33:02.720,126.5248,7.6225,80.43
us7000ad7w,4.7,"183 km SE of Katsuura, Japan",2020-06-27 21:17:51.263,141.5992,33.8758,10.0
us7000ad60,4.9,south of the Kermadec Islands,2020-06-27 18:29:05.270,-178.1264,-33.3737,10.0
us7000ah9m,4.5,Balleny Islands region,2020-06-27 17:34:57.392,172.2325,-63.4782,10.0
us7000ad0w,4.5,"141 km NW of Sola, Vanuatu",2020-06-27 10:43:53.068,166.8043,-12.8301,106.22
us7000ah97,4.5,South Sandwich Islands region,2020-06-27 10:10:11.344,-26.5933,-59.8205,51.71
us7000acyv,4.9,"50 km W of Iquique, Chile",2020-06-27 07:52:45.277,-70.6301,-20.1899,18.09
us7000acya,5.1,South Sandwich Islands region,2020-06-27 07:18:39.988,-26.8015,-55.5266,10.0
us7000acxu,4.5,"19 km WSW of Yoshida-kasugach?, Japan",2020-06-27 07:08:08.628,138.672,37.6366,201.79
us7000acwt,4.9,south of the Kermadec Islands,2020-06-27 06:14:39.391,-178.4936,-33.5908,10.0
us7000acvi,4.9,"91 km SSE of San Jose Village, Northern Mariana Islands",2020-06-27 04:43:04.876,145.8244,14.1659,57.35
us7000acv8,4.5,"12 km E of Farkh?r, Afghanistan",2020-06-27 04:33:53.276,69.9916,36.5848,56.6
us7000acv5,4.5,"44 km NE of Balkanabat, Turkmenistan",2020-06-27 04:10:19.539,54.7569,39.7728,10.0
us7000ah8x,4.5,Mariana Islands region,2020-06-27 02:02:35.516,145.623,21.6658,40.44
us7000acrp,4.7,"42 km E of Yujing, Taiwan",2020-06-26 23:27:46.536,120.8718,23.0808,10.0
us7000agr8,4.5,South Sandwich Islands region,2020-06-26 23:14:39.929,-27.3127,-56.1838,67.79
us7000acne,4.9,"21 km NNE of Taupo, New Zealand",2020-06-26 20:41:31.184,176.139,-38.4917,128.91
us7000agqv,4.6,West Chile Rise,2020-06-26 20:22:36.663,-94.4985,-37.6824,10.0
us7000ackw,4.9,"23 km WNW of Fry, Greece",2020-06-26 19:36:36.560,26.6835,35.504,24.5
us7000agqs,4.6,"47 km ESE of Santiago, Philippines",2020-06-26 18:36:35.750,126.9581,7.1069,49.12
us7000accq,4.5,"54 km W of Chauk, Myanmar",2020-06-26 16:05:45.280,94.2917,20.8724,82.2
us7000ac8p,4.5,"26 km SE of Barishal, Pakistan",2020-06-26 14:45:10.807,74.9315,36.1755,52.11
us7000ac5z,4.7,"33 km NW of San Carlos, Argentina",2020-06-26 13:45:36.885,-65.3416,-30.9507,182.66
us7000ac49,5.3,"56 km N of Claveria, Philippines",2020-06-26 11:54:56.529,121.0947,19.1147,19.67
us7000ac0z,4.5,"71 km WSW of Punta Cardón, Venezuela",2020-06-26 10:33:48.509,-70.7841,11.3321,129.87
us7000agqd,4.5,Carlsberg Ridge,2020-06-26 09:58:49.616,57.0963,9.7105,10.0
us7000abzm,4.9,South Sandwich Islands region,2020-06-26 08:21:28.371,-25.4888,-59.9017,10.0
us7000abxv,5.2,"13 km NW of Gölmarmara, Turkey",2020-06-26 07:21:12.533,27.7934,38.7898,10.0
us7000abwu,4.7,"33 km ESE of Santiago, Philippines",2020-06-26 06:05:49.055,126.8571,7.1788,64.16
us7000abwq,4.5,"174 km SSE of Alo, Wallis and Futuna",2020-06-26 05:41:27.765,-177.4698,-15.7578,422.54
us7000abvk,4.6,Kermadec Islands region,2020-06-26 03:52:52.497,-178.3037,-28.8659,206.24
us7000abu5,5.0,South Sandwich Islands region,2020-06-26 02:10:23.884,-25.2442,-56.745,10.0
us7000abt8,4.7,"279 km SE of Hotan, China",2020-06-26 01:30:58.799,82.3801,35.5546,10.0
us7000abn0,5.0,"276 km SE of Hotan, China",2020-06-25 21:17:04.425,82.4472,35.6685,10.0
us7000agis,4.5,"275 km SE of Hotan, China",2020-06-25 21:14:36.585,82.4342,35.6634,10.0
us7000abmk,6.3,"278 km SE of Hotan, China",2020-06-25 21:05:18.140,82.4158,35.5948,10.0
us7000abky,4.9,"277 km SE of Hotan, China",2020-06-25 20:29:39.466,82.4619,35.6587,10.0
us7000agiz,4.5,southeast of Easter Island,2020-06-25 20:16:07.895,-95.3688,-37.2095,10.0
us7000agip,4.6,southeast of Easter Island,2020-06-25 20:14:19.613,-95.3671,-37.1497,10.0
us7000agj0,4.6,West Chile Rise,2020-06-25 18:46:11.898,-94.6979,-37.364,10.0
us7000abih,4.6,southeast of Easter Island,2020-06-25 18:43:59.276,-95.2868,-37.1545,10.0
us7000abh1,5.1,southeast of Easter Island,2020-06-25 18:29:44.765,-95.1851,-37.1623,10.0
us7000abg4,4.5,"231 km E of Levuka, Fiji",2020-06-25 18:02:44.614,-178.5081,-17.8419,569.01
us7000abde,4.5,"66 km WSW of Ishigaki, Japan",2020-06-25 17:00:32.588,123.5906,24.0494,29.46
us7000agih,4.5,"152 km S of Itoman, Japan",2020-06-25 15:36:40.224,127.9278,24.7695,10.0
us7000ab33,4.8,southern East Pacific Rise,2020-06-25 12:16:07.104,-112.956,-21.8773,10.0
us7000ab22,5.2,"44 km NW of La Ligua, Chile",2020-06-25 11:55:04.667,-71.6188,-32.2257,35.0
us7000ab1n,4.9,"171 km ESE of Kokopo, Papua New Guinea",2020-06-25 11:31:15.917,153.6282,-5.0748,67.53
us7000aavx,5.4,"14 km SSW of Özalp, Turkey",2020-06-25 10:03:30.648,43.9407,38.5329,10.0
us7000aauz,4.5,"184 km E of Atka, Alaska",2020-06-25 09:24:25.345,-171.5294,51.9686,56.52
